configuration_path,shape_and_values,optional,constraints,source
$.experimental (ExperimentalOptions).clash_api (ClashAPIOptions).external_ui,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L23
$.experimental (ExperimentalOptions).clash_api (ClashAPIOptions).external_ui_download_detour,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L25
$.experimental (ExperimentalOptions).clash_api (ClashAPIOptions).external_ui_download_url,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L24
$.experimental (ExperimentalOptions).clash_api (ClashAPIOptions).secret,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L26
$.experimental (ExperimentalOptions).clash_api (ClashAPIOptions).store_fakeip,"{""type"":""boolean""}",yes; conditional core requirements still apply,Deprecated: migrated to global cache file,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L41
$.experimental (ExperimentalOptions).clash_api (ClashAPIOptions).store_mode,"{""type"":""boolean""}",yes; conditional core requirements still apply,Deprecated: migrated to global cache file,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L37
$.experimental (ExperimentalOptions).clash_api (ClashAPIOptions).store_selected,"{""type"":""boolean""}",yes; conditional core requirements still apply,Deprecated: migrated to global cache file,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L39
$.experimental (ExperimentalOptions).debug,"{""$ref"":""#/$defs/DebugOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L9
$.experimental (ExperimentalOptions).debug (DebugOptions).gc_percent,"{""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L7
$.experimental (ExperimentalOptions).debug (DebugOptions).listen,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L6
$.experimental (ExperimentalOptions).debug (DebugOptions).max_stack,"{""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L8
$.experimental (ExperimentalOptions).debug (DebugOptions).max_threads,"{""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L9
$.experimental (ExperimentalOptions).debug (DebugOptions).memory_limit,"{""$ref"":""#/$defs/byteformats_MemoryBytes""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L12
$.experimental (ExperimentalOptions).debug (DebugOptions).oom_killer,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L13
$.experimental (ExperimentalOptions).debug (DebugOptions).panic_on_fault,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L10
$.experimental (ExperimentalOptions).debug (DebugOptions).trace_back,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/debug.go#L11
$.experimental (ExperimentalOptions).v2ray_api,"{""$ref"":""#/$defs/V2RayAPIOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L8
$.experimental (ExperimentalOptions).v2ray_api (V2RayAPIOptions).listen,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L45
$.experimental (ExperimentalOptions).v2ray_api (V2RayAPIOptions).stats,"{""$ref"":""#/$defs/V2RayStatsServiceOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L46
$.experimental (ExperimentalOptions).v2ray_api (V2RayAPIOptions).stats (V2RayStatsServiceOptions).enabled,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L50
$.experimental (ExperimentalOptions).v2ray_api (V2RayAPIOptions).stats (V2RayStatsServiceOptions).inbounds,"{""items"":{""type"":""string""},""type"":""array""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L51
$.experimental (ExperimentalOptions).v2ray_api (V2RayAPIOptions).stats (V2RayStatsServiceOptions).outbounds,"{""items"":{""type"":""string""},""type"":""array""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L52
$.experimental (ExperimentalOptions).v2ray_api (V2RayAPIOptions).stats (V2RayStatsServiceOptions).users,"{""items"":{""type"":""string""},""type"":""array""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/experimental.go#L53
$.inbounds,"{""items"":{""$ref"":""#/$defs/Inbound""},""type"":[""array"",""null""]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/options.go#L20
$.inbounds[] (Inbound){oneOf:0}.bind_interface,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L69
$.inbounds[] (Inbound){oneOf:0}.detour,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L81
$.inbounds[] (Inbound){oneOf:0}.disable_tcp_keep_alive,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L73
$.inbounds[] (Inbound){oneOf:0}.listen,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L67
$.inbounds[] (Inbound){oneOf:0}.listen_port,"{""maximum"":65535,""minimum"":0,""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L68
$.inbounds[] (Inbound){oneOf:0}.netns,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L72
$.inbounds[] (Inbound){oneOf:0}.padding_scheme,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/anytls.go#L9
$.inbounds[] (Inbound){oneOf:0}.reuse_addr,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L71
$.inbounds[] (Inbound){oneOf:0}.routing_mark,"{""$ref"":""#/$defs/FwMark""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L70
$.inbounds[] (Inbound){oneOf:0}.tag,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/options.go#L20
$.inbounds[] (Inbound){oneOf:0}.tcp_fast_open,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L76
$.inbounds[] (Inbound){oneOf:0}.tcp_keep_alive,"{""$ref"":""#/$defs/badoption_Duration""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L74
$.inbounds[] (Inbound){oneOf:0}.tcp_keep_alive_interval,"{""$ref"":""#/$defs/badoption_Duration""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L75
$.inbounds[] (Inbound){oneOf:0}.tcp_multi_path,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/inbound.go#L77
$.inbounds[] (Inbound){oneOf:0}.tls,"{""$ref"":""#/$defs/InboundTLSOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L81
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme,"{""$ref"":""#/$defs/InboundACMEOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L31
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).alternative_http_port,"{""maximum"":65535,""minimum"":0,""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L19
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).alternative_tls_port,"{""maximum"":65535,""minimum"":0,""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L20
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).data_directory,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L13
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).default_server_name,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L14
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).disable_http_challenge,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L17
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).disable_tls_alpn_challenge,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L18
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge,"{""$ref"":""#/$defs/ACMEDNS01ChallengeOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L22
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:0}.password,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L93
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:0}.provider,"{""const"":""acmedns""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L22
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:0}.server_url,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L95
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:0}.subdomain,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L94
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:0}.username,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L92
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:1}.access_key_id,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L80
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:1}.access_key_secret,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L81
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:1}.provider,"{""const"":""alidns""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L22
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:1}.region_id,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L82
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:1}.security_token,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L83
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:2}.api_token,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L87
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:2}.provider,"{""const"":""cloudflare""}",no in this branch,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L22
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).dns01_challenge (ACMEDNS01ChallengeOptions){oneOf:2}.zone_token,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L88
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).domain,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L12
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).email,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L15
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).external_account,"{""$ref"":""#/$defs/ACMEExternalAccountOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L21
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).external_account (ACMEExternalAccountOptions).key_id,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L26
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).external_account (ACMEExternalAccountOptions).mac_key,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L27
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).acme (InboundACMEOptions).provider,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls_acme.go#L16
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).alpn,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L16
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).certificate,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L21
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).certificate_path,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L22
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).cipher_suites,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L19
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).client_authentication,"{""$ref"":""#/$defs/ClientAuthType""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L23
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).client_certificate,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L24
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).client_certificate_path,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L25
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).client_certificate_public_key_sha256,"{""anyOf"":[{""anyOf"":[{""contentEncoding"":""base64"",""type"":""string""},{""items"":{""maximum"":255,""minimum"":0,""type"":""integer""},""type"":""array""}]},{""items"":{""anyOf"":[{""contentEncoding"":""base64"",""type"":""string""},{""items"":{""maximum"":255,""minimum"":0,""type"":""integer""},""type"":""array""}]},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L26
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).curve_preferences,"{""anyOf"":[{""$ref"":""#/$defs/CurvePreference""},{""items"":{""$ref"":""#/$defs/CurvePreference""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L20
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).ech,"{""$ref"":""#/$defs/InboundECHOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L32
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).ech (InboundECHOptions).dynamic_record_sizing_disabled,"{""type"":""boolean""}",yes; conditional core requirements still apply,Deprecated: added by fault,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L214
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).ech (InboundECHOptions).enabled,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L207
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).ech (InboundECHOptions).key,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L208
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).ech (InboundECHOptions).key_path,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L209
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).ech (InboundECHOptions).pq_signature_schemes_enabled,"{""type"":""boolean""}",yes; conditional core requirements still apply,Deprecated: not supported by stdlib,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L212
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).enabled,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L13
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).insecure,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L15
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).kernel_rx,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L30
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).kernel_tx,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L29
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).key,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L27
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).key_path,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L28
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).max_version,"{""enum"":["""",""1.0"",""1.1"",""1.2"",""1.3""],""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L18
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).min_version,"{""enum"":["""",""1.0"",""1.1"",""1.2"",""1.3""],""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L17
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality,"{""$ref"":""#/$defs/InboundRealityOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L33
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).enabled,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L194
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake,"{""$ref"":""#/$defs/InboundRealityHandshakeOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/tls.go#L195
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).bind_address_no_port,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L72
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).bind_interface,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L69
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).connect_timeout,"{""$ref"":""#/$defs/badoption_Duration""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L77
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).detour,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L68
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).disable_tcp_keep_alive,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L80
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).domain_resolver,"{""$ref"":""#/$defs/DomainResolveOptions""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L85
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).domain_strategy,"{""$ref"":""#/$defs/DomainStrategy""}",yes; conditional core requirements still apply,Deprecated: migrated to domain resolver,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L92
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).fallback_delay,"{""$ref"":""#/$defs/badoption_Duration""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L89
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).fallback_network_type,"{""anyOf"":[{""$ref"":""#/$defs/InterfaceType""},{""items"":{""$ref"":""#/$defs/InterfaceType""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L88
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).inet4_bind_address,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L70
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).inet6_bind_address,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L71
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).netns,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L76
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).network_strategy,"{""$ref"":""#/$defs/NetworkStrategy""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L86
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).network_type,"{""anyOf"":[{""$ref"":""#/$defs/InterfaceType""},{""items"":{""$ref"":""#/$defs/InterfaceType""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L87
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).protect_path,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L73
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).reuse_addr,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L75
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).routing_mark,"{""$ref"":""#/$defs/FwMark""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L74
$.inbounds[] (Inbound){oneOf:0}.tls (InboundTLSOptions).reality (InboundRealityOptions).handshake (InboundRealityHandshakeOptions).server,"{""type"":""string""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/outbound.go#L149
