configuration_path,shape_and_values,optional,constraints,source
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.ip_accept_any,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L86
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.ip_cidr,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L84
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.ip_is_private,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L85
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.ip_version,"{""enum"":[0,4,6],""type"":""integer""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L72
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.network,"{""anyOf"":[{""enum"":[""tcp"",""udp""],""type"":""string""},{""items"":{""enum"":[""tcp"",""udp""],""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L74
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.network_interface_address,"{""additionalProperties"":{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]},""propertyNames"":{""$ref"":""#/$defs/InterfaceType""},""type"":""object""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L107
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.network_is_constrained,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L103
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.network_is_expensive,"{""type"":""boolean""}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L102
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.network_type,"{""anyOf"":[{""$ref"":""#/$defs/InterfaceType""},{""items"":{""$ref"":""#/$defs/InterfaceType""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L101
$.dns (DNSOptions).rules[] (DNSRule){oneOf:0}{allOf:0}.outbound,"{""anyOf"":[{""type"":""string""},{""items"":{""type"":""string""},""type"":""array""}]}",yes; conditional core requirements still apply,,https://github.com/SagerNet/sing-box/blob/v1.13.21/option/rule_dns.go#L99
